Account,BN Calls,BN Puts,BN Futures,MC Futures,PNL,M2M,Margin Available,Cash Balance
ER6842,-6120,0,630,200,700417,-66794,15362650,546614
SW7768,-9900,0,840,200,779233,-26822,27414194,1213442
JK0143,-3450,0,630,200,911700,-63498,13326822,545049
OZS912,-4200,0,840,200,467167,-78947,13246114,950108
SLV491,-3930,0,210,200,513301,-158655,8106190,669613
SS3084,-1800,0,0,200,262546,-155890,9695833,18922
XK4024,-8745,0,840,200,172616,-106696,6338069,-21312018
